,town,year,tenant_rental_assistance,total_assisted_units
838,Wolcott,2012,3,436.0
839,Woodbridge,2012,3,39.0
840,Woodbury,2012,4,83.0
841,Woodstock,2012,3,79.0
842,Ansonia,2011,699,1186.0
843,Bloomfield,2011,147,1026.0
844,Bridgeport,2011,3724,10307.0
845,Bristol,2011,791,3576.0
846,Danbury,2011,952,3126.0
847,Derby,2011,305,627.0
848,East Hartford,2011,835,3320.0
849,East Windsor,2011,27,691.0
850,Enfield,2011,215,2108.0
851,Groton,2011,56,3670.0
852,Hartford,2011,7577,18432.0
853,Killingly,2011,124,905.0
854,Manchester,2011,1011,3743.0
855,Mansfield,2011,159,654.0
856,Meriden,2011,970,3772.0
857,Middletown,2011,1295,4724.0
858,New Britain,2011,1457,6189.0
859,New Haven,2011,6116,15940.0
860,New London,2011,155,2353.0
861,Norwalk,2011,982,4027.0
862,Norwich,2011,707,3130.0
863,Plainfield,2011,225,864.0
864,Putnam,2011,64,548.0
865,Stamford,2011,1645,7793.0
866,Torrington,2011,301,2011.0
867,Vernon,2011,519,2269.0
868,Waterbury,2011,3110,10569.0
869,West Haven,2011,1380,2819.0
870,Winchester,2011,248,680.0
871,Windham,2011,560,2679.0
872,Andover,2011,1,45.0
873,Ashford,2011,1,68.0
874,Avon,2011,5,266.0
875,Barkhamsted,2011,3,14.0
876,Beacon Falls,2011,6,31.0
877,Berlin,2011,30,586.0
878,Bethany,2011,0,1.0
879,Bethel,2011,9,379.0
880,Bethlehem,2011,0,24.0
881,Bolton,2011,3,18.0
882,Bozrah,2011,4,20.0
883,Branford,2011,46,452.0
884,Bridgewater,2011,0,2.0
885,Brookfield,2011,6,131.0
886,Brooklyn,2011,9,305.0
887,Lyme,2011,0,9.0
888,Burlington,2011,0,53.0
889,Canaan,2011,0,35.0
890,Canterbury,2011,1,108.0
891,Canton,2011,20,315.0
892,Chaplin,2011,1,24.0
893,Cheshire,2011,5,329.0
894,Chester,2011,2,34.0
895,Clinton,2011,5,131.0
896,Colchester,2011,26,474.0
897,Colebrook,2011,0,8.0
898,Columbia,2011,4,65.0
899,Cornwall,2011,0,18.0
900,Coventry,2011,5,245.0
901,Cromwell,2011,6,417.0
902,Darien,2011,8,185.0
903,Deep River,2011,4,52.0
904,Durham,2011,1,45.0
905,East Granby,2011,1,103.0
906,East Haddam,2011,3,104.0
907,East Hampton,2011,1,165.0
908,East Haven,2011,254,969.0
909,East Lyme,2011,61,491.0
910,Eastford,2011,0,16.0
911,Easton,2011,33,44.0
912,Ellington,2011,6,335.0
913,Essex,2011,4,48.0
914,Fairfield,2011,182,569.0
915,Farmington,2011,110,837.0
916,Franklin,2011,1,16.0
917,Glastonbury,2011,49,753.0
918,Goshen,2011,1,7.0
919,Granby,2011,1,125.0
920,Greenwich,2011,359,1252.0
921,Griswold,2011,42,318.0
922,Guilford,2011,5,201.0
923,Haddam,2011,1,37.0
924,Hamden,2011,514,1650.0
925,Hampton,2011,0,16.0
926,Hartland,2011,0,6.0
927,Harwinton,2011,1,45.0
928,Hebron,2011,3,92.0
929,Kent,2011,1,77.0
930,Killingworth,2011,1,11.0
931,Lebanon,2011,5,78.0
932,Ledyard,2011,7,197.0
933,Lisbon,2011,0,37.0
934,Litchfield,2011,2,182.0
935,Madison,2011,1,127.0
936,Marlborough,2011,0,40.0
937,Middlebury,2011,3,95.0
938,Middlefield,2011,0,41.0
939,Milford,2011,285,1404.0
940,Monroe,2011,1,55.0
941,Montville,2011,30,288.0
942,Morris,2011,2,22.0
943,Naugatuck,2011,273,1066.0
944,New Canaan,2011,10,183.0
945,New Fairfield,2011,0,35.0
946,New Hartford,2011,0,63.0
947,New Milford,2011,221,577.0
948,Newington,2011,84,912.0
949,Newtown,2011,4,173.0
950,Norfolk,2011,0,31.0
951,North Branford,2011,8,122.0
952,North Canaan,2011,0,108.0
953,North Haven,2011,29,447.0
954,North Stonington,2011,1,18.0
955,Old Lyme,2011,1,69.0
956,Old Saybrook,2011,5,71.0
957,Orange,2011,4,59.0
958,Oxford,2011,1,45.0
959,Plainville,2011,24,602.0
960,Plymouth,2011,5,326.0
961,Pomfret,2011,2,45.0
962,Portland,2011,91,324.0
963,Preston,2011,3,77.0
964,Prospect,2011,4,26.0
965,Redding,2011,0,0.0
966,Ridgefield,2011,0,207.0
967,Rocky Hill,2011,23,432.0
968,Roxbury,2011,0,20.0
969,Salem,2011,0,26.0
970,Salisbury,2011,0,30.0
971,Scotland,2011,0,9.0
972,Seymour,2011,25,370.0
973,Sharon,2011,1,25.0
974,Shelton,2011,16,435.0
975,Sherman,2011,1,2.0
976,Simsbury,2011,12,311.0
977,Somers,2011,7,77.0
978,South Windsor,2011,53,715.0
979,Southbury,2011,2,103.0
980,Southington,2011,41,982.0
981,Sprague,2011,9,59.0
982,Stafford,2011,12,330.0
983,Sterling,2011,3,33.0
984,Stonington,2011,16,361.0
985,Stratford,2011,365,1181.0
986,Suffield,2011,0,268.0
987,Thomaston,2011,3,191.0
988,Thompson,2011,12,216.0
989,Tolland,2011,2,171.0
990,Trumbull,2011,13,637.0
991,Union,2011,0,6.0
992,Voluntown,2011,2,43.0
993,Wallingford,2011,141,957.0
994,Warren,2011,0,2.0
995,Washington,2011,0,37.0
996,Waterford,2011,13,328.0
997,Watertown,2011,19,359.0
998,West Hartford,2011,942,2069.0
999,Westbrook,2011,7,184.0
1000,Weston,2011,1,1.0
1001,Westport,2011,20,282.0
1002,Wethersfield,2011,127,968.0
1003,Willington,2011,4,196.0
1004,Wilton,2011,4,165.0
1005,Windsor,2011,245,778.0
1006,Windsor Locks,2011,149,468.0
1007,Wolcott,2011,4,437.0
1008,Woodbridge,2011,5,41.0
1009,Woodbury,2011,4,83.0
1010,Woodstock,2011,3,66.0
