,town,year,tenant_rental_assistance,total_assisted_units
191,Canterbury,2015,1,139.0
192,Canton,2015,14,328.0
193,Chaplin,2015,0,32.0
194,Cheshire,2015,16,395.0
195,Chester,2015,3,40.0
196,Clinton,2015,13,143.0
197,Colchester,2015,34,531.0
198,Colebrook,2015,0,9.0
199,Columbia,2015,3,104.0
200,Cornwall,2015,2,34.0
201,Coventry,2015,3,299.0
202,Cromwell,2015,9,452.0
203,Danbury,2015,909,3207.0
204,Darien,2015,6,238.0
205,Deep River,2015,2,54.0
206,Derby,2015,322,674.0
207,Durham,2015,1,52.0
208,East Granby,2015,1,113.0
209,East Haddam,2015,3,114.0
210,East Hampton,2015,8,203.0
211,East Hartford,2015,759,3483.0
212,East Haven,2015,139,1020.0
213,East Lyme,2015,12,534.0
214,East Windsor,2015,33,736.0
215,Eastford,2015,0,23.0
216,Easton,2015,0,15.0
217,Ellington,2015,5,382.0
218,Enfield,2015,199,2194.0
219,Essex,2015,5,50.0
220,Fairfield,2015,104,503.0
221,Farmington,2015,107,901.0
222,Franklin,2015,0,48.0
223,Glastonbury,2015,33,759.0
224,Goshen,2015,1,9.0
225,Granby,2015,1,142.0
226,Greenwich,2015,337,1363.0
227,Griswold,2015,74,431.0
228,Groton,2015,93,4076.0
229,Guilford,2015,7,233.0
230,Haddam,2015,0,42.0
231,Hamden,2015,554,1989.0
232,Hampton,2015,1,37.0
233,Hartford,2015,8532,20850.0
234,Hartland,2015,0,9.0
235,Harwinton,2015,2,59.0
236,Hebron,2015,2,104.0
237,Kent,2015,4,61.0
238,Killingly,2015,106,1050.0
239,Killingworth,2015,0,20.0
240,Lebanon,2015,4,109.0
241,Ledyard,2015,6,260.0
242,Lisbon,2015,0,60.0
243,Litchfield,2015,5,196.0
244,Lyme,2015,0,10.0
245,Madison,2015,2,130.0
246,Manchester,2015,839,3764.0
247,Mansfield,2015,121,651.0
248,Marlborough,2015,2,50.0
249,Meriden,2015,1102,4268.0
250,Middletown,2015,1121,4943.0
251,Milford,2015,211,1266.0
252,Monroe,2015,3,65.0
253,Montville,2015,37,375.0
254,Morris,2015,4,25.0
255,Naugatuck,2015,260,1134.0
256,New Britain,2015,1423,6281.0
257,New Canaan,2015,10,199.0
258,New Fairfield,2015,1,52.0
259,New Hartford,2015,6,79.0
260,New Haven,2015,5654,16620.0
261,New London,2015,449,2777.0
262,New Milford,2015,24,498.0
263,Newington,2015,104,1124.0
264,Newtown,2015,3,195.0
265,Norfolk,2015,3,37.0
266,North Branford,2015,11,136.0
267,North Canaan,2015,1,149.0
268,North Haven,2015,40,474.0
269,North Stonington,2015,2,31.0
270,Norwalk,2015,1065,4363.0
271,Norwich,2015,762,3576.0
272,Old Lyme,2015,3,75.0
273,Old Saybrook,2015,7,97.0
274,Orange,2015,6,71.0
275,Oxford,2015,4,58.0
276,Plainfield,2015,180,939.0
277,Plainville,2015,22,618.0
278,Plymouth,2015,10,398.0
279,Pomfret,2015,1,55.0
280,Portland,2015,83,341.0
281,Preston,2015,5,90.0
282,Prospect,2015,4,42.0
283,Putnam,2015,65,618.0
284,Redding,2015,0,1.0
285,Ridgefield,2015,3,256.0
286,Rocky Hill,2015,25,454.0
287,Roxbury,2015,0,21.0
288,Salem,2015,0,32.0
289,Salisbury,2015,2,35.0
290,Scotland,2015,0,17.0
291,Seymour,2015,21,396.0
292,Sharon,2015,2,26.0
293,Shelton,2015,42,571.0
294,Sherman,2015,2,6.0
295,Simsbury,2015,19,339.0
296,Somers,2015,10,189.0
297,Southbury,2015,6,121.0
298,Sprague,2015,13,72.0
299,Stafford,2015,10,472.0
300,Stamford,2015,1836,8502.0
301,Sterling,2015,6,50.0
302,Stonington,2015,16,471.0
303,Stratford,2015,392,1260.0
304,Suffield,2015,2,297.0
305,Thomaston,2015,4,226.0
306,Thompson,2015,11,274.0
307,Tolland,2015,3,191.0
308,Torrington,2015,316,2113.0
309,Trumbull,2015,16,588.0
310,Union,2015,0,10.0
311,Vernon,2015,371,2264.0
312,Voluntown,2015,4,54.0
313,Wallingford,2015,116,969.0
314,Warren,2015,0,5.0
315,Washington,2015,5,46.0
316,Waterbury,2015,2904,11066.0
317,Waterford,2015,21,403.0
318,Watertown,2015,22,394.0
319,West Hartford,2015,720,1981.0
320,West Haven,2015,1438,2930.0
321,Westbrook,2015,7,188.0
322,Weston,2015,1,3.0
323,Westport,2015,50,319.0
324,Wethersfield,2015,96,989.0
325,Willington,2015,1,208.0
326,Wilton,2015,6,254.0
327,Winchester,2015,214,723.0
328,Windham,2015,596,2992.0
329,Windsor,2015,207,824.0
330,Windsor Locks,2015,140,486.0
331,Wolcott,2015,5,471.0
332,Woodbridge,2015,5,41.0
333,Woodbury,2015,3,88.0
334,Woodstock,2015,2,98.0
335,Andover,2014,1,57.0
336,Ansonia,2014,642,1134.0
337,Ashford,2014,2,84.0
338,Avon,2014,8,278.0
339,Barkhamsted,2014,4,17.0
340,Beacon Falls,2014,2,33.0
341,Berlin,2014,43,699.0
342,Bethany,2014,0,3.0
343,Bethel,2014,15,397.0
344,Bethlehem,2014,0,25.0
345,Bloomfield,2014,149,1051.0
346,Bolton,2014,3,26.0
347,Bozrah,2014,2,36.0
348,Branford,2014,56,478.0
349,Bridgeport,2014,3779,10705.0
350,Bridgewater,2014,0,2.0
351,Bristol,2014,823,3521.0
352,Brookfield,2014,7,160.0
353,Brooklyn,2014,12,378.0
354,Burlington,2014,0,61.0
355,Canaan,2014,3,59.0
356,Canterbury,2014,0,155.0
357,Canton,2014,17,328.0
358,Chaplin,2014,0,36.0
359,Cheshire,2014,12,384.0
360,Chester,2014,3,38.0
361,Clinton,2014,9,140.0
362,Colchester,2014,34,543.0
363,Colebrook,2014,0,11.0
364,Columbia,2014,3,90.0
365,Cornwall,2014,2,23.0
366,Coventry,2014,1,300.0
367,Cromwell,2014,13,428.0
368,Danbury,2014,904,3131.0
369,Darien,2014,7,239.0
370,Deep River,2014,24,76.0
371,Derby,2014,314,658.0
372,Durham,2014,4,54.0
373,East Granby,2014,2,109.0
374,East Haddam,2014,1,122.0
375,East Hampton,2014,5,198.0
376,East Hartford,2014,1054,3706.0
377,East Haven,2014,141,990.0
378,East Lyme,2014,10,520.0
379,East Windsor,2014,43,735.0
380,Eastford,2014,0,24.0
381,Easton,2014,0,11.0
382,Ellington,2014,9,375.0
383,Enfield,2014,211,2139.0
384,Essex,2014,5,53.0
385,Fairfield,2014,94,485.0
386,Farmington,2014,110,884.0
387,Franklin,2014,0,43.0
388,Glastonbury,2014,37,746.0
389,Goshen,2014,0,10.0
390,Granby,2014,1,138.0
391,Greenwich,2014,334,1229.0
392,Griswold,2014,67,457.0
393,Groton,2014,76,4044.0
394,Guilford,2014,7,220.0
395,Haddam,2014,0,47.0
396,Hamden,2014,545,1929.0
397,Hampton,2014,2,44.0
398,Hartford,2014,7812,19634.0
399,Hartland,2014,1,11.0
400,Harwinton,2014,0,58.0
401,Hebron,2014,3,107.0
402,Kent,2014,4,60.0
403,Killingly,2014,107,1090.0
404,Killingworth,2014,0,16.0
405,Lebanon,2014,5,119.0
406,Ledyard,2014,5,241.0
407,Lisbon,2014,0,59.0
408,Litchfield,2014,5,202.0
409,Lyme,2014,0,10.0
410,Madison,2014,1,130.0
411,Manchester,2014,977,3770.0
412,Mansfield,2014,125,661.0
413,Marlborough,2014,2,49.0
414,Meriden,2014,1033,4136.0
415,Middlebury,2014,3,115.0
416,Middlefield,2014,2,46.0
417,Middletown,2014,1047,4660.0
418,Milford,2014,212,1265.0
419,Monroe,2014,3,59.0
420,Montville,2014,28,349.0
421,Morris,2014,4,25.0
422,Naugatuck,2014,368,1216.0
423,New Britain,2014,1602,6597.0
424,New Canaan,2014,9,205.0
425,New Fairfield,2014,0,40.0
426,New Hartford,2014,5,78.0
427,New Haven,2014,5336,15985.0
428,New London,2014,674,2944.0
429,New Milford,2014,27,459.0
430,Newington,2014,148,1111.0
431,Newtown,2014,3,181.0
432,Norfolk,2014,2,39.0
433,North Branford,2014,10,134.0
434,North Canaan,2014,1,147.0
435,North Haven,2014,36,456.0
436,North Stonington,2014,2,24.0
437,Norwalk,2014,997,4191.0
438,Norwich,2014,721,3384.0
439,Old Lyme,2014,2,78.0
440,Old Saybrook,2014,7,96.0
441,Orange,2014,6,68.0
442,Oxford,2014,3,51.0
443,Plainfield,2014,166,1003.0
444,Plainville,2014,21,596.0
445,Plymouth,2014,18,420.0
446,Pomfret,2014,1,61.0
447,Portland,2014,82,331.0
448,Preston,2014,5,89.0
449,Prospect,2014,4,42.0
450,Putnam,2014,69,660.0
451,Redding,2014,0,0.0
452,Ridgefield,2014,1,237.0
453,Rocky Hill,2014,30,444.0
454,Roxbury,2014,0,20.0
455,Salem,2014,0,35.0
456,Salisbury,2014,2,37.0
457,Scotland,2014,0,13.0
458,Seymour,2014,18,377.0
459,Sharon,2014,2,26.0
460,Shelton,2014,34,547.0
461,Sherman,2014,2,5.0
462,Simsbury,2014,19,322.0
463,Somers,2014,12,189.0
464,South Windsor,2014,49,715.0
465,Southbury,2014,4,112.0
466,Lyme,2012,0,10.0
467,Southington,2014,67,1022.0
468,Sprague,2014,13,80.0
469,Stafford,2014,13,422.0
470,Stamford,2014,1732,8215.0
471,Sterling,2014,6,67.0
472,Stonington,2014,15,383.0
473,Stratford,2014,381,1216.0
474,Suffield,2014,3,294.0
475,Thomaston,2014,4,223.0
476,Thompson,2014,25,309.0
477,Tolland,2014,2,196.0
478,Torrington,2014,277,2045.0
479,Trumbull,2014,15,683.0
480,Union,2014,0,12.0
481,Vernon,2014,391,2164.0
482,Voluntown,2014,4,62.0
483,Wallingford,2014,115,941.0
484,Warren,2014,0,5.0
485,Washington,2014,6,50.0
486,Waterbury,2014,3074,10898.0
487,Waterford,2014,20,382.0
488,Watertown,2014,18,368.0
489,West Hartford,2014,832,2056.0
490,West Haven,2014,1451,2904.0
491,Westbrook,2014,7,188.0
492,Weston,2014,1,1.0
493,Westport,2014,45,313.0
494,Wethersfield,2014,134,980.0
495,Willington,2014,1,207.0
496,Wilton,2014,7,250.0
497,Winchester,2014,444,979.0
498,Windham,2014,541,2978.0
499,Windsor,2014,297,878.0
500,Windsor Locks,2014,153,477.0
501,Wolcott,2014,4,448.0
502,Woodbridge,2014,5,41.0
503,Woodbury,2014,2,86.0
504,Woodstock,2014,3,99.0
505,Andover,2013,1,54.0
506,Ansonia,2013,756,1248.0
507,Ashford,2013,2,82.0
508,Avon,2013,7,280.0
509,Barkhamsted,2013,1,16.0
510,Beacon Falls,2013,5,37.0
511,Berlin,2013,29,684.0
512,Bethany,2013,0,3.0
513,Bethel,2013,10,389.0
514,Bethlehem,2013,1,26.0
515,Bloomfield,2013,147,1045.0
516,Bolton,2013,3,23.0
517,Bozrah,2013,4,33.0
518,Branford,2013,50,472.0
519,Bridgeport,2013,3781,10553.0
520,Bridgewater,2013,0,2.0
521,Bristol,2013,798,3634.0
522,Brookfield,2013,7,160.0
523,Brooklyn,2013,11,378.0
524,Burlington,2013,0,69.0
525,Canaan,2013,0,36.0
526,Canterbury,2013,1,146.0
527,Canton,2013,19,325.0
528,Chaplin,2013,0,28.0
529,Cheshire,2013,7,337.0
530,Chester,2013,2,38.0
531,Clinton,2013,5,137.0
532,Colchester,2013,31,520.0
533,Colebrook,2013,0,9.0
534,Columbia,2013,2,86.0
535,Cornwall,2013,0,24.0
536,Coventry,2013,1,307.0
537,Cromwell,2013,6,418.0
538,Danbury,2013,1180,3405.0
539,Darien,2013,6,185.0
540,Deep River,2013,5,58.0
541,Derby,2013,307,634.0
542,Durham,2013,1,56.0
543,Eastford,2013,0,25.0
544,East Granby,2013,4,113.0
545,East Haddam,2013,0,116.0
546,East Hampton,2013,5,200.0
547,East Hartford,2013,1024,3552.0
548,East Haven,2013,128,857.0
549,East Lyme,2013,8,473.0
550,Easton,2013,0,11.0
551,East Windsor,2013,49,748.0
552,Ellington,2013,8,393.0
553,Enfield,2013,215,2143.0
554,Essex,2013,6,55.0
555,Fairfield,2013,181,572.0
556,Farmington,2013,110,858.0
557,Franklin,2013,1,21.0
558,Glastonbury,2013,47,755.0
559,Goshen,2013,0,8.0
560,Granby,2013,2,152.0
561,Greenwich,2013,421,1314.0
562,Griswold,2013,41,416.0
563,Groton,2013,52,3690.0
564,Guilford,2013,6,216.0
565,Haddam,2013,1,44.0
566,Hamden,2013,523,1689.0
567,Hampton,2013,0,32.0
568,Hartford,2013,8525,19588.0
569,Hartland,2013,0,12.0
570,Harwinton,2013,0,57.0
571,Hebron,2013,3,108.0
572,Kent,2013,0,28.0
573,Killingly,2013,125,1134.0
574,Killingworth,2013,2,17.0
575,Lebanon,2013,4,109.0
576,Ledyard,2013,6,264.0
577,Lisbon,2013,0,66.0
578,Litchfield,2013,1,186.0
579,Lyme,2013,0,10.0
